business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category
36512,Epic Roasthouse,369 Embarcadero,San Francisco,CA,94105,37.788613,-122.393894,"(37.788613, -122.393894)",,36512_20180425,04/25/2018 12:00:00 AM,94,Routine - Unscheduled,36512_20180425_103120,Moderate risk food holding temperature,Moderate Risk
64653,Mow Lee Company,774 Commercial St,San Francisco,CA,94108,37.793907,-122.405863,"(37.793907, -122.405863)",+14155985767,64653_20180808,08/08/2018 12:00:00 AM,80,Routine - Unscheduled,64653_20180808_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
61136,Lou's Cafe,5017 Geary Blvd,San Francisco,CA,94118,37.780543,-122.473129,"(37.780543, -122.473129)",,61136_20180813,08/13/2018 12:00:00 AM,88,Routine - Unscheduled,61136_20180813_103144,Unapproved or unmaintained equipment or utensils,Low Risk
22606,Canyon Market,2815 Diamond St,San Francisco,CA,94131,37.734072,-122.433948,"(37.734072, -122.433948)",,22606_20180531,05/31/2018 12:00:00 AM,92,Routine - Unscheduled,22606_20180531_103162,Other low risk violation,Low Risk
2331,JADE CAFE #3,1688 BRYANT St,San Francisco,CA,94103,37.765755,-122.410601,"(37.765755, -122.410601)",,2331_20180328,03/28/2018 12:00:00 AM,76,Routine - Unscheduled,2331_20180328_103121,Inadequate procedures or records for time as a public health control,Moderate Risk
7575,SUPER MIRA,1790 SUTTER St,San Francisco,CA,94115,37.786568,-122.429754,"(37.786568, -122.429754)",+14155926529,7575_20180718,07/18/2018 12:00:00 AM,90,Routine - Unscheduled,7575_20180718_103125,Noncompliance with shell fish tags or display,Moderate Risk
2008,Hook a Cook,Pier 39  Building B  Space 1-3,San Francisco,CA,94133,37.786766,-122.461545,"(37.786766, -122.461545)",+14155217717,2008_20181009,10/09/2018 12:00:00 AM,90,Routine - Unscheduled,2008_20181009_103150,Improper or defective plumbing,Low Risk
62064,California Grocery,123 Eddy St,San Francisco,CA,94102,37.784303,-122.409647,"(37.784303, -122.409647)",+14155448608,62064_20180627,06/27/2018 12:00:00 AM,94,Routine - Unscheduled,62064_20180627_103147,Inadequate ventilation or lighting,Low Risk
69694,Split Bread,145 04th St,San Francisco,CA,94103,37.783984,-122.403513,"(37.783984, -122.403513)",,69694_20180319,03/19/2018 12:00:00 AM,76,Routine - Unscheduled,69694_20180319_103109,Unclean or unsanitary food contact surfaces,High Risk
935,PEKING WOK RESTAURANT,4920 03rd St,San Francisco,CA,94124,37.733891,-122.391183,"(37.733891, -122.391183)",,935_20181114,11/14/2018 12:00:00 AM,88,Routine - Unscheduled,935_20181114_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
