business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category
87482,Rinconcito Nicaraguense,2943 Mission St,San Francisco,CA,94110,,,,14155644620,87482_20180801,8/1/2018 0:00,83,Routine - Unscheduled,87482_20180801_103144,Unapproved or unmaintained equipment or utensils,Low Risk
2807,Grandeho's Kamekyo II,2721 Hyde St,San Francisco,CA,94109,37.806153,-122.420474,"(37.806153, -122.420474)",,2807_20190801,8/1/2019 0:00,86,Routine - Unscheduled,2807_20190801_103157,Food safety certificate or food handler card not available,Low Risk
96580,INDULGENCE TEA BAR,1490 OCEAN AVE STE      1,San Francisco,CA,94112,,,,14159262242,96580_20190801,8/1/2019 0:00,,Reinspection/Followup,96580_20190801_103109,Unclean or unsanitary food contact surfaces,High Risk
2807,Grandeho's Kamekyo II,2721 Hyde St,San Francisco,CA,94109,37.806153,-122.420474,"(37.806153, -122.420474)",,2807_20190801,8/1/2019 0:00,86,Routine - Unscheduled,2807_20190801_103138,Improper storage use or identification of toxic substances,Low Risk
86629,Kindom of Dumpling Homemade,2048 Taraval St,San Francisco,CA,94116,,,,14155666617,86629_20180801,8/1/2018 0:00,90,Routine - Unscheduled,86629_20180801_103154,Unclean or degraded floors walls or ceilings,Low Risk
69737,StrEat Cervezas,428 11th St,San Francisco,CA,94103,,,,14155890933,69737_20180801,8/1/2018 0:00,87,Routine - Unscheduled,69737_20180801_103139,Improper food storage,Low Risk
33527,Popeyes Chicken & Biscuits,1426 Fillmore St Space T,San Francisco,CA,94115,37.782817,-122.432577,"(37.782817, -122.432577)",,33527_20190801,8/1/2019 0:00,86,Routine - Unscheduled,33527_20190801_103145,Improper storage of equipment utensils or linens,Low Risk
85500,Y & Y Vietnamese Restaurant,914 Clement St,San Francisco,CA,94118,,,,14155382938,85500_20180801,8/1/2018 0:00,90,Routine - Unscheduled,85500_20180801_103139,Improper food storage,Low Risk
1609,Tung Sing Restaurant,4015 24th St,San Francisco,CA,94114,37.751373,-122.432319,"(37.751373, -122.432319)",14155648582,1609_20190801,8/1/2019 0:00,84,Routine - Unscheduled,1609_20190801_103144,Unapproved or unmaintained equipment or utensils,Low Risk
14688,Eagle Cafe,111 Pine St,San Francisco,CA,94111,37.792343,-122.398567,"(37.792343, -122.398567)",,14688_20190801,8/1/2019 0:00,89,Routine - Unscheduled,14688_20190801_103103,High risk food holding temperature,High Risk
81368,NOVY,4000 24th St,San Francisco,CA,94114,,,,14155673600,81368_20190801,8/1/2019 0:00,98,Routine - Unscheduled,81368_20190801_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
82259,Seniores Pizza,559 Divisadero St,San Francisco,CA,94117,,,,14155405222,82259_20190801,8/1/2019 0:00,,Complaint,82259_20190801_103109,Unclean or unsanitary food contact surfaces,High Risk
82259,Seniores Pizza,559 Divisadero St,San Francisco,CA,94117,,,,14155405222,82259_20190801,8/1/2019 0:00,,Complaint,82259_20190801_103154,Unclean or degraded floors walls or ceilings,Low Risk
87482,Rinconcito Nicaraguense,2943 Mission St,San Francisco,CA,94110,,,,14155644620,87482_20180801,8/1/2018 0:00,83,Routine - Unscheduled,87482_20180801_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
33527,Popeyes Chicken & Biscuits,1426 Fillmore St Space T,San Francisco,CA,94115,37.782817,-122.432577,"(37.782817, -122.432577)",,33527_20190801,8/1/2019 0:00,86,Routine - Unscheduled,33527_20190801_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
2807,Grandeho's Kamekyo II,2721 Hyde St,San Francisco,CA,94109,37.806153,-122.420474,"(37.806153, -122.420474)",,2807_20190801,8/1/2019 0:00,86,Routine - Unscheduled,2807_20190801_103156,Permit license or inspection report not posted,Low Risk
75701,Alley House,3751 Geary Blvd,San Francisco,CA,94118,,,,14155227427,75701_20180801,8/1/2018 0:00,75,Routine - Unscheduled,75701_20180801_103109,Unclean or unsanitary food contact surfaces,High Risk
75701,Alley House,3751 Geary Blvd,San Francisco,CA,94118,,,,14155227427,75701_20180801,8/1/2018 0:00,75,Routine - Unscheduled,75701_20180801_103142,Unclean nonfood contact surfaces,Low Risk
7997,COSTCO WHOLESALE,450 10th St,San Francisco,CA,94107,37.770938,-122.41051,"(37.770938, -122.41051)",,7997_20190801,8/1/2019 0:00,94,Routine - Unscheduled,7997_20190801_103154,Unclean or degraded floors walls or ceilings,Low Risk
18462,Jack's Market,471 03rd St,San Francisco,CA,94107,37.781607,-122.396125,"(37.781607, -122.396125)",14150297778,18462_20190801,8/1/2019 0:00,90,Routine - Unscheduled,18462_20190801_103161,Low risk vermin infestation,Low Risk
33527,Popeyes Chicken & Biscuits,1426 Fillmore St Space T,San Francisco,CA,94115,37.782817,-122.432577,"(37.782817, -122.432577)",,33527_20190801,8/1/2019 0:00,86,Routine - Unscheduled,33527_20190801_103154,Unclean or degraded floors walls or ceilings,Low Risk
85500,Y & Y Vietnamese Restaurant,914 Clement St,San Francisco,CA,94118,,,,14155382938,85500_20180801,8/1/2018 0:00,90,Routine - Unscheduled,85500_20180801_103138,Improper storage use or identification of toxic substances,Low Risk
82259,Seniores Pizza,559 Divisadero St,San Francisco,CA,94117,,,,14155405222,82259_20190801,8/1/2019 0:00,,Complaint,82259_20190801_103144,Unapproved or unmaintained equipment or utensils,Low Risk
1609,Tung Sing Restaurant,4015 24th St,San Francisco,CA,94114,37.751373,-122.432319,"(37.751373, -122.432319)",14155648582,1609_20190801,8/1/2019 0:00,84,Routine - Unscheduled,1609_20190801_103142,Unclean nonfood contact surfaces,Low Risk
85500,Y & Y Vietnamese Restaurant,914 Clement St,San Francisco,CA,94118,,,,14155382938,85500_20180801,8/1/2018 0:00,90,Routine - Unscheduled,85500_20180801_103144,Unapproved or unmaintained equipment or utensils,Low Risk
3731,JARDINIERE RESTAURANT,300 GROVE St,San Francisco,CA,94102,37.778018,-122.421744,"(37.778018, -122.421744)",,3731_20180801,8/1/2018 0:00,86,Routine - Unscheduled,3731_20180801_103103,High risk food holding temperature,High Risk
4718,MAY FLOWER MKT.,2498 FILLMORE St,San Francisco,CA,94115,37.792455,-122.434474,"(37.792455, -122.434474)",,4718_20180801,8/1/2018 0:00,85,Routine - Unscheduled,4718_20180801_103109,Unclean or unsanitary food contact surfaces,High Risk
4718,MAY FLOWER MKT.,2498 FILLMORE St,San Francisco,CA,94115,37.792455,-122.434474,"(37.792455, -122.434474)",,4718_20180801,8/1/2018 0:00,85,Routine - Unscheduled,4718_20180801_103144,Unapproved or unmaintained equipment or utensils,Low Risk
3599,MARCELLOS,2100 TARAVAL St,San Francisco,CA,94116,37.742498,-122.488722,"(37.742498, -122.488722)",,3599_20180801,8/1/2018 0:00,87,Routine - Unscheduled,3599_20180801_103139,Improper food storage,Low Risk
2750,HAMANO SUSHI,1332 CASTRO St,San Francisco,CA,94114,37.750778,-122.434065,"(37.750778, -122.434065)",14155820825,2750_20180801,8/1/2018 0:00,88,Routine - Unscheduled,2750_20180801_103154,Unclean or degraded floors walls or ceilings,Low Risk
34186,Angel Cafe and Deli,700 Geary St,San Francisco,CA,94109,37.786528,-122.415064,"(37.786528, -122.415064)",,34186_20180801,8/1/2018 0:00,96,Routine - Unscheduled,34186_20180801_103143,Inadequate warewashing facilities or equipment,Low Risk
34186,Angel Cafe and Deli,700 Geary St,San Francisco,CA,94109,37.786528,-122.415064,"(37.786528, -122.415064)",,34186_20180801,8/1/2018 0:00,96,Routine - Unscheduled,34186_20180801_103148,No thermometers or uncalibrated thermometers,Low Risk
3731,JARDINIERE RESTAURANT,300 GROVE St,San Francisco,CA,94102,37.778018,-122.421744,"(37.778018, -122.421744)",,3731_20180801,8/1/2018 0:00,86,Routine - Unscheduled,3731_20180801_103109,Unclean or unsanitary food contact surfaces,High Risk
3599,MARCELLOS,2100 TARAVAL St,San Francisco,CA,94116,37.742498,-122.488722,"(37.742498, -122.488722)",,3599_20180801,8/1/2018 0:00,87,Routine - Unscheduled,3599_20180801_103114,High risk vermin infestation,High Risk
2750,HAMANO SUSHI,1332 CASTRO St,San Francisco,CA,94114,37.750778,-122.434065,"(37.750778, -122.434065)",14155820825,2750_20180801,8/1/2018 0:00,88,Routine - Unscheduled,2750_20180801_103142,Unclean nonfood contact surfaces,Low Risk
4718,MAY FLOWER MKT.,2498 FILLMORE St,San Francisco,CA,94115,37.792455,-122.434474,"(37.792455, -122.434474)",,4718_20180801,8/1/2018 0:00,85,Routine - Unscheduled,4718_20180801_103139,Improper food storage,Low Risk
