business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation,risk_category
4449,Universal Bakery Inc.,3458 MISSION St,San Francisco,CA,94110,37.741317,-122.422687,"(37.741317, -122.422687)",,4449_20161215,12/15/16 0:00,80,Routine - Unscheduled,4449_20161215_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
58803,Catering For Two Or More,5051 MISSION STREET,San Francisco,CA,94110,37.717659,-122.44005,"(37.717659, -122.44005)",,58803_20170307,3/7/17 0:00,88,Routine - Unscheduled,58803_20170307_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
65649,Krua Thai Kitchen,3214 16th St,San Francisco,CA,94103,37.764788,-122.424462,"(37.764788, -122.424462)",,65649_20161206,12/6/16 0:00,90,Routine - Unscheduled,65649_20161206_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
66220,Izakaya Kou,1560 Fillmore St,San Francisco,CA,94115,37.784007,-122.432816,"(37.784007, -122.432816)",,66220_20160825,8/25/16 0:00,90,Routine - Unscheduled,66220_20160825_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
8948,SEGAFREDO,33 Powell St,San Francisco,CA,94103,37.784858,-122.407764,"(37.784858, -122.407764)",,8948_20161222,12/22/16 0:00,90,Routine - Unscheduled,8948_20161222_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
6660,Tuong Phong Market,628 Ellis St,San Francisco,CA,94102,37.784408,-122.416614,"(37.784408, -122.416614)",,6660_20171214,12/14/17 0:00,86,Routine - Unscheduled,6660_20171214_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
18047,Las Palmeras,2721 Mission St,San Francisco,CA,94110,37.753463,-122.418536,"(37.753463, -122.418536)",,18047_20180806,8/6/18 0:00,75,Routine - Unscheduled,18047_20180806_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
40216,Kuishinbo,22 Peace Plaza #535,San Francisco,CA,94115,37.785018,-122.429587,"(37.785018, -122.429587)",,40216_20180717,7/17/18 0:00,75,Routine - Unscheduled,40216_20180717_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
61136,Lou's Cafe,5017 Geary Blvd,San Francisco,CA,94118,37.780543,-122.473129,"(37.780543, -122.473129)",,61136_20180813,8/13/18 0:00,88,Routine - Unscheduled,61136_20180813_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
4620,WELCOME SUPER MARKET,1141 FOLSOM St,San Francisco,CA,94103,37.776057,-122.408682,"(37.776057, -122.408682)",14155437007,4620_20171004,10/4/17 0:00,90,Routine - Unscheduled,4620_20171004_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
7394,TORINO MARKET,4830 03rd St,San Francisco,CA,94124,37.734392,-122.390972,"(37.734392, -122.390972)",,7394_20180103,1/3/18 0:00,88,Routine - Unscheduled,7394_20180103_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
